,dateTime,lat,long,pm,cpm
0,0.0,22.48,88.34,72.22,109.74
1,0.0,22.48,88.39,115.6,113.91
2,0.0,22.5,88.35,114.18,113.7
3,0.0,22.51,88.36,101.2,112.47
4,0.0,22.54,88.34,116.34,97.87
5,0.0,22.54,88.35,119.25,98.15
6,0.0,22.56,88.35,125.19,99.02
7,0.0,22.56,88.36,93.24,96.01
8,0.0,22.56,88.39,105.12,114.36
9,0.0,22.57,88.42,94.81,113.38
10,0.0,22.58,88.43,55.54,109.68
11,0.0,22.59,88.36,111.83,91.53
12,0.0,22.6,88.37,104.51,90.84
13,0.0,22.61,88.36,121.4,92.44
14,60.0,22.48,88.39,153.48,118.02
15,60.0,22.51,88.36,88.21,110.78
16,60.0,22.51,88.37,72.28,110.36
17,60.0,22.54,88.34,93.16,92.21
18,60.0,22.54,88.35,96.59,92.53
19,60.0,22.56,88.35,93.54,95.51
20,60.0,22.56,88.36,94.5,95.6
21,60.0,22.56,88.39,86.4,114.97
22,60.0,22.57,88.42,64.04,112.86
23,60.0,22.59,88.36,105.31,88.84
24,60.0,22.6,88.41,90.32,115.34
25,60.0,22.61,88.36,99.96,88.34
26,120.0,22.48,88.34,134.56,114.84
27,120.0,22.48,88.39,177.33,119.78
28,120.0,22.5,88.35,94.61,111.07
29,120.0,22.51,88.37,66.91,109.36
30,120.0,22.54,88.34,82.79,91.06
31,120.0,22.54,88.35,87.06,91.47
32,120.0,22.56,88.35,76.68,92.48
33,120.0,22.56,88.36,80.04,92.8
34,120.0,22.56,88.39,74.32,112.6
35,120.0,22.57,88.42,56.07,110.87
36,120.0,22.58,88.43,51.97,110.49
37,120.0,22.6,88.37,101.59,86.54
38,120.0,22.6,88.41,78.48,112.99
39,120.0,22.61,88.36,82.77,84.76
40,180.0,22.48,88.34,69.13,108.66
41,180.0,22.48,88.39,120.93,113.3
42,180.0,22.5,88.35,84.29,110.09
43,180.0,22.51,88.37,58.39,107.4
44,180.0,22.54,88.34,70.96,89.46
45,180.0,22.54,88.35,73.94,89.74
46,180.0,22.56,88.35,70.36,90.31
47,180.0,22.56,88.36,68.56,90.15
48,180.0,22.56,88.39,68.07,106.64
49,180.0,22.57,88.42,38.84,103.88
50,180.0,22.58,88.43,51.81,105.11
51,180.0,22.59,88.36,83.61,85.73
52,180.0,22.6,88.41,70.33,106.86
53,180.0,22.61,88.36,104.43,87.7
54,240.0,22.48,88.34,50.6,107.03
55,240.0,22.48,88.39,122.34,114.27
56,240.0,22.5,88.35,73.94,109.23
57,240.0,22.51,88.36,63.06,108.2
58,240.0,22.51,88.37,59.19,108.31
59,240.0,22.54,88.34,66.25,89.3
60,240.0,22.54,88.35,69.38,89.59
61,240.0,22.56,88.36,69.52,92.79
62,240.0,22.57,88.42,58.54,106.84
63,240.0,22.59,88.36,74.29,87.19
64,240.0,22.6,88.37,69.95,86.78
65,240.0,22.6,88.41,79.36,108.81
66,300.0,22.48,88.34,54.73,106.5
67,300.0,22.48,88.39,114.01,112.85
68,300.0,22.5,88.35,89.25,109.76
69,300.0,22.51,88.37,73.49,109.03
70,300.0,22.54,88.34,73.1,96.27
71,300.0,22.54,88.35,83.4,97.24
72,300.0,22.56,88.35,71.84,94.97
73,300.0,22.56,88.36,77.87,95.54
74,300.0,22.56,88.39,73.28,115.03
75,300.0,22.57,88.42,42.88,112.16
76,300.0,22.58,88.43,55.85,113.39
77,300.0,22.59,88.36,72.58,90.39
78,300.0,22.6,88.41,82.8,115.93
79,300.0,22.61,88.36,106.25,93.56
80,360.0,22.48,88.39,123.27,114.04
81,360.0,22.5,88.35,95.36,111.14
82,360.0,22.51,88.36,84.61,110.13
83,360.0,22.51,88.37,67.28,108.75
84,360.0,22.54,88.34,78.11,100.41
85,360.0,22.54,88.35,88.57,101.4
86,360.0,22.56,88.35,87.55,97.18
87,360.0,22.56,88.39,82.92,120.02
88,360.0,22.57,88.42,40.96,116.07
89,360.0,22.58,88.43,54.23,117.32
90,360.0,22.59,88.36,86.49,93.56
91,420.0,22.48,88.34,52.48,109.3
92,420.0,22.48,88.39,135.17,116.49
93,420.0,22.5,88.35,84.75,112.34
94,420.0,22.51,88.36,70.33,110.98
95,420.0,22.51,88.37,56.71,109.09
96,420.0,22.54,88.34,91.78,93.3
97,420.0,22.56,88.35,70.15,92.66
98,420.0,22.56,88.36,77.48,93.35
99,420.0,22.56,88.39,70.68,117.52
100,420.0,22.57,88.42,33.36,114.0
101,420.0,22.58,88.43,46.58,115.25
102,420.0,22.59,88.36,95.51,89.42
103,420.0,22.6,88.37,91.65,89.06
104,420.0,22.6,88.41,68.75,117.34
105,420.0,22.61,88.36,80.58,88.01
106,480.0,22.48,88.34,48.13,88.69
107,480.0,22.5,88.35,77.62,91.47
108,480.0,22.51,88.36,67.24,90.49
109,480.0,22.51,88.37,52.35,99.14
110,480.0,22.54,88.34,64.31,81.94
111,480.0,22.54,88.35,65.52,82.06
112,480.0,22.56,88.35,61.94,86.15
113,480.0,22.56,88.36,62.61,86.21
114,480.0,22.59,88.36,62.82,81.19
115,480.0,22.6,88.37,58.24,80.76
116,480.0,22.6,88.41,64.16,103.24
117,480.0,22.61,88.36,65.57,81.45
118,540.0,22.48,88.34,42.36,78.06
119,540.0,22.48,88.39,88.32,84.42
120,540.0,22.5,88.35,61.19,79.84
121,540.0,22.51,88.36,51.03,78.88
122,540.0,22.51,88.37,40.38,79.89
123,540.0,22.54,88.35,53.99,76.49
124,540.0,22.56,88.35,50.18,81.34
125,540.0,22.56,88.39,50.89,93.54
126,540.0,22.57,88.42,26.29,91.22
127,540.0,22.58,88.43,31.82,91.74
128,540.0,22.6,88.41,57.86,94.19
129,540.0,22.61,88.36,53.24,76.12
130,600.0,22.51,88.36,50.87,77.61
131,600.0,22.51,88.37,40.16,76.83
132,600.0,22.54,88.34,45.81,74.74
133,600.0,22.56,88.35,45.88,79.4
134,600.0,22.56,88.36,47.8,79.58
135,600.0,22.56,88.39,44.32,84.67
136,600.0,22.57,88.42,23.03,82.66
137,600.0,22.58,88.43,29.96,83.32
138,600.0,22.59,88.36,45.44,73.5
139,600.0,22.6,88.37,43.04,73.27
140,600.0,22.6,88.41,46.64,84.89
141,600.0,22.61,88.36,43.6,73.33
142,660.0,22.48,88.39,66.72,76.16
143,660.0,22.5,88.35,55.1,75.93
144,660.0,22.51,88.36,49.01,75.36
145,660.0,22.51,88.37,46.04,74.21
146,660.0,22.54,88.34,47.09,73.6
147,660.0,22.54,88.35,47.54,73.64
148,660.0,22.56,88.35,44.48,78.79
149,660.0,22.56,88.36,43.18,78.67
150,660.0,22.56,88.39,52.91,82.72
151,660.0,22.57,88.42,22.4,79.84
152,660.0,22.58,88.43,27.68,80.34
153,660.0,22.59,88.36,45.58,78.9
154,660.0,22.6,88.41,47.5,82.21
155,660.0,22.61,88.36,43.15,76.57
156,720.0,22.48,88.34,42.6,73.67
157,720.0,22.48,88.39,69.03,73.15
158,720.0,22.5,88.35,60.5,75.35
159,720.0,22.51,88.36,50.59,74.42
160,720.0,22.51,88.37,42.58,70.66
161,720.0,22.54,88.34,52.77,71.98
162,720.0,22.54,88.35,57.5,72.43
163,720.0,22.56,88.36,50.16,77.43
164,720.0,22.56,88.39,47.44,78.46
165,720.0,22.57,88.42,21.7,76.03
166,720.0,22.58,88.43,27.67,67.78
167,720.0,22.6,88.41,45.63,69.47
168,720.0,22.61,88.36,50.46,69.63
169,780.0,22.48,88.34,43.2,71.32
170,780.0,22.48,88.39,58.63,70.12
171,780.0,22.5,88.35,61.76,73.07
172,780.0,22.51,88.36,49.83,71.94
173,780.0,22.51,88.37,42.32,68.58
174,780.0,22.54,88.35,51.31,69.07
175,780.0,22.56,88.35,52.26,74.92
176,780.0,22.57,88.42,19.59,69.34
177,780.0,22.58,88.43,24.58,69.81
178,780.0,22.59,88.36,50.01,67.76
179,780.0,22.6,88.37,48.08,67.58
180,780.0,22.6,88.41,42.75,71.53
181,780.0,22.61,88.36,46.1,67.39
182,840.0,22.48,88.34,40.57,69.15
183,840.0,22.5,88.35,54.88,70.5
184,840.0,22.51,88.36,51.17,70.15
185,840.0,22.51,88.37,36.66,66.41
186,840.0,22.54,88.35,42.77,67.54
187,840.0,22.56,88.35,42.88,73.33
188,840.0,22.56,88.36,40.66,73.12
189,840.0,22.56,88.39,42.29,72.17
190,840.0,22.58,88.43,21.83,70.24
191,840.0,22.6,88.37,40.46,66.4
192,840.0,22.6,88.41,53.25,73.2
193,840.0,22.61,88.36,40.26,66.38
194,900.0,22.51,88.36,49.35,70.8
195,900.0,22.51,88.37,36.72,66.64
196,900.0,22.54,88.35,42.66,69.47
197,900.0,22.56,88.35,41.9,74.68
198,900.0,22.57,88.42,19.75,69.64
199,900.0,22.58,88.43,22.02,69.86
200,900.0,22.6,88.37,38.65,67.48
201,900.0,22.6,88.41,38.37,71.4
202,900.0,22.61,88.36,41.17,67.72
203,960.0,22.5,88.35,53.58,75.43
204,960.0,22.51,88.36,54.8,75.54
205,960.0,22.56,88.35,45.58,77.14
206,960.0,22.56,88.36,48.56,77.42
207,960.0,22.56,88.39,41.74,75.87
208,960.0,22.59,88.36,48.7,69.94
209,960.0,22.6,88.37,46.42,69.73
210,960.0,22.61,88.36,48.3,69.9
211,1020.0,22.48,88.34,44.27,78.79
212,1020.0,22.48,88.39,98.3,81.16
213,1020.0,22.5,88.35,59.34,80.21
214,1020.0,22.51,88.36,69.54,81.17
215,1020.0,22.51,88.37,45.8,76.21
216,1020.0,22.54,88.35,58.4,78.62
217,1020.0,22.56,88.35,51.16,81.52
218,1020.0,22.56,88.36,58.32,82.2
219,1020.0,22.56,88.39,108.92,85.96
220,1020.0,22.57,88.42,45.06,79.94
221,1020.0,22.59,88.36,75.34,74.99
222,1020.0,22.6,88.37,76.27,75.07
223,1020.0,22.6,88.41,66.45,81.95
224,1080.0,22.48,88.34,48.52,85.35
225,1080.0,22.48,88.39,144.56,95.86
226,1080.0,22.5,88.35,74.75,87.82
227,1080.0,22.51,88.36,115.18,91.64
228,1080.0,22.51,88.37,65.21,88.37
229,1080.0,22.54,88.35,83.29,89.02
230,1080.0,22.56,88.35,65.06,86.44
231,1080.0,22.56,88.36,90.93,88.88
232,1080.0,22.56,88.39,161.29,98.12
233,1080.0,22.57,88.42,68.46,89.36
234,1080.0,22.58,88.43,58.73,88.45
235,1080.0,22.59,88.36,118.03,81.12
236,1080.0,22.6,88.37,119.31,81.24
237,1080.0,22.6,88.41,82.05,90.65
238,1140.0,22.48,88.34,54.82,88.89
239,1140.0,22.48,88.39,148.43,96.61
240,1140.0,22.5,88.35,100.44,93.19
241,1140.0,22.51,88.36,108.66,93.97
242,1140.0,22.51,88.37,79.88,90.14
243,1140.0,22.56,88.36,91.73,89.37
244,1140.0,22.56,88.39,173.1,101.09
245,1140.0,22.57,88.42,77.46,92.07
246,1140.0,22.58,88.43,67.11,91.09
247,1140.0,22.59,88.36,134.56,84.42
248,1140.0,22.6,88.37,135.16,84.48
249,1140.0,22.6,88.41,88.88,93.14
250,1200.0,22.48,88.39,137.58,96.47
251,1200.0,22.5,88.35,108.52,90.69
252,1200.0,22.51,88.36,117.73,91.56
253,1200.0,22.51,88.37,79.82,91.02
254,1200.0,22.54,88.35,107.69,90.46
255,1200.0,22.56,88.35,105.02,91.66
256,1200.0,22.56,88.36,102.74,91.44
257,1200.0,22.56,88.39,103.86,92.08
258,1200.0,22.57,88.42,145.86,96.05
259,1200.0,22.58,88.43,71.01,88.98
260,1200.0,22.59,88.36,98.05,82.4
261,1200.0,22.6,88.37,94.7,82.08
262,1200.0,22.61,88.36,89.95,81.63
263,1260.0,22.48,88.39,129.33,99.71
264,1260.0,22.5,88.35,111.36,94.51
265,1260.0,22.51,88.36,96.6,93.11
266,1260.0,22.54,88.35,99.68,97.17
267,1260.0,22.56,88.35,114.91,94.63
268,1260.0,22.56,88.36,92.81,92.54
269,1260.0,22.56,88.39,98.5,96.48
270,1260.0,22.57,88.42,222.07,108.14
271,1260.0,22.58,88.43,75.13,94.27
272,1260.0,22.59,88.36,101.0,83.65
273,1260.0,22.6,88.37,134.94,86.85
274,1260.0,22.6,88.41,87.62,95.45
275,1260.0,22.61,88.36,95.05,83.08
276,1320.0,22.48,88.34,77.05,93.89
277,1320.0,22.48,88.39,122.32,94.03
278,1320.0,22.5,88.35,108.56,96.86
279,1320.0,22.51,88.36,89.17,95.03
280,1320.0,22.51,88.37,89.4,90.92
281,1320.0,22.54,88.35,97.62,99.91
282,1320.0,22.56,88.39,93.2,98.23
283,1320.0,22.57,88.42,136.72,102.34
284,1320.0,22.58,88.43,70.74,96.11
285,1320.0,22.59,88.36,102.75,85.57
286,1320.0,22.6,88.41,92.91,98.2
287,1320.0,22.61,88.36,99.38,85.25
288,1380.0,22.48,88.34,62.46,101.6
289,1380.0,22.5,88.35,103.21,105.44
290,1380.0,22.51,88.36,100.26,105.16
291,1380.0,22.54,88.34,95.57,101.81
292,1380.0,22.56,88.35,105.73,97.59
293,1380.0,22.56,88.36,109.28,97.93
294,1380.0,22.57,88.42,258.86,116.36
295,1380.0,22.59,88.36,110.72,87.02
296,1380.0,22.6,88.41,95.74,100.97
297,1380.0,22.61,88.36,134.55,89.27
