,dateTime,lat,long,pm,cpm
0,0.0,22.48,88.34,72.22,109.74
1,0.0,22.48,88.39,115.6,113.91
2,0.0,22.5,88.35,114.18,113.7
3,0.0,22.51,88.36,101.2,112.47
4,0.0,22.51,88.37,85.81,111.1
5,0.0,22.54,88.34,116.34,97.87
6,0.0,22.54,88.35,119.25,98.15
7,0.0,22.56,88.35,125.19,99.02
8,0.0,22.56,88.36,93.24,96.01
9,0.0,22.57,88.42,94.81,113.38
10,0.0,22.58,88.43,55.54,109.68
11,0.0,22.59,88.36,111.83,91.53
12,0.0,22.6,88.37,104.51,90.84
13,0.0,22.6,88.41,101.39,114.0
14,0.0,22.61,88.36,121.4,92.44
15,60.0,22.48,88.34,70.82,109.14
16,60.0,22.48,88.39,153.48,118.02
17,60.0,22.5,88.35,107.72,112.62
18,60.0,22.51,88.36,88.21,110.78
19,60.0,22.51,88.37,72.28,110.36
20,60.0,22.54,88.34,93.16,92.21
21,60.0,22.54,88.35,96.59,92.53
22,60.0,22.56,88.35,93.54,95.51
23,60.0,22.56,88.36,94.5,95.6
24,60.0,22.57,88.42,64.04,112.86
25,60.0,22.58,88.43,58.99,112.39
26,60.0,22.6,88.37,112.8,89.55
27,60.0,22.6,88.41,90.32,115.34
28,120.0,22.48,88.39,177.33,119.78
29,120.0,22.5,88.35,94.61,111.07
30,120.0,22.51,88.36,77.28,109.44
31,120.0,22.51,88.37,66.91,109.36
32,120.0,22.54,88.34,82.79,91.06
33,120.0,22.56,88.36,80.04,92.8
34,120.0,22.56,88.39,74.32,112.6
35,120.0,22.58,88.43,51.97,110.49
36,120.0,22.59,88.36,99.16,86.31
37,120.0,22.6,88.37,101.59,86.54
38,120.0,22.6,88.41,78.48,112.99
39,180.0,22.48,88.34,69.13,108.66
40,180.0,22.48,88.39,120.93,113.3
41,180.0,22.5,88.35,84.29,110.09
42,180.0,22.51,88.36,66.32,108.4
43,180.0,22.51,88.37,58.39,107.4
44,180.0,22.54,88.35,73.94,89.74
45,180.0,22.56,88.35,70.36,90.31
46,180.0,22.56,88.36,68.56,90.15
47,180.0,22.57,88.42,38.84,103.88
48,180.0,22.58,88.43,51.81,105.11
49,180.0,22.59,88.36,83.61,85.73
50,180.0,22.6,88.37,78.64,85.26
51,180.0,22.6,88.41,70.33,106.86
52,180.0,22.61,88.36,104.43,87.7
53,240.0,22.48,88.34,50.6,107.03
54,240.0,22.48,88.39,122.34,114.27
55,240.0,22.5,88.35,73.94,109.23
56,240.0,22.51,88.36,63.06,108.2
57,240.0,22.51,88.37,59.19,108.31
58,240.0,22.54,88.34,66.25,89.3
59,240.0,22.56,88.35,64.48,92.32
60,240.0,22.56,88.39,67.51,107.69
61,240.0,22.57,88.42,58.54,106.84
62,240.0,22.58,88.43,55.67,106.57
63,240.0,22.59,88.36,74.29,87.19
64,240.0,22.6,88.37,69.95,86.78
65,240.0,22.6,88.41,79.36,108.81
66,240.0,22.61,88.36,102.23,89.82
67,300.0,22.48,88.34,54.73,106.5
68,300.0,22.48,88.39,114.01,112.85
69,300.0,22.51,88.36,74.65,108.38
70,300.0,22.54,88.34,73.1,96.27
71,300.0,22.54,88.35,83.4,97.24
72,300.0,22.56,88.39,73.28,115.03
73,300.0,22.57,88.42,42.88,112.16
74,300.0,22.59,88.36,72.58,90.39
75,300.0,22.6,88.37,70.04,90.15
76,300.0,22.6,88.41,82.8,115.93
77,300.0,22.61,88.36,106.25,93.56
78,360.0,22.48,88.34,61.65,107.96
79,360.0,22.48,88.39,123.27,114.04
80,360.0,22.5,88.35,95.36,111.14
81,360.0,22.51,88.37,67.28,108.75
82,360.0,22.54,88.34,78.11,100.41
83,360.0,22.54,88.35,88.57,101.4
84,360.0,22.56,88.35,87.55,97.18
85,360.0,22.56,88.36,76.14,96.1
86,360.0,22.57,88.42,40.96,116.07
87,360.0,22.58,88.43,54.23,117.32
88,360.0,22.59,88.36,86.49,93.56
89,360.0,22.6,88.37,75.6,92.53
90,360.0,22.6,88.41,84.27,120.15
91,360.0,22.61,88.36,122.2,96.92
92,420.0,22.48,88.34,52.48,109.3
93,420.0,22.48,88.39,135.17,116.49
94,420.0,22.5,88.35,84.75,112.34
95,420.0,22.51,88.37,56.71,109.09
96,420.0,22.54,88.35,81.44,92.32
97,420.0,22.56,88.36,77.48,93.35
98,420.0,22.57,88.42,33.36,114.0
99,420.0,22.58,88.43,46.58,115.25
100,420.0,22.59,88.36,95.51,89.42
101,420.0,22.6,88.37,91.65,89.06
102,420.0,22.6,88.41,68.75,117.34
103,480.0,22.48,88.39,100.81,103.71
104,480.0,22.5,88.35,77.62,91.47
105,480.0,22.51,88.36,67.24,90.49
106,480.0,22.51,88.37,52.35,99.14
107,480.0,22.54,88.34,64.31,81.94
108,480.0,22.54,88.35,65.52,82.06
109,480.0,22.56,88.35,61.94,86.15
110,480.0,22.56,88.36,62.61,86.21
111,480.0,22.56,88.39,60.23,102.87
112,480.0,22.57,88.42,26.04,99.65
113,480.0,22.58,88.43,43.32,101.28
114,480.0,22.59,88.36,62.82,81.19
115,480.0,22.6,88.37,58.24,80.76
116,480.0,22.6,88.41,64.16,103.24
117,480.0,22.61,88.36,65.57,81.45
118,540.0,22.48,88.34,42.36,78.06
119,540.0,22.48,88.39,88.32,84.42
120,540.0,22.5,88.35,61.19,79.84
121,540.0,22.51,88.37,40.38,79.89
122,540.0,22.54,88.34,50.03,76.12
123,540.0,22.54,88.35,53.99,76.49
124,540.0,22.56,88.36,54.05,81.7
125,540.0,22.56,88.39,50.89,93.54
126,540.0,22.57,88.42,26.29,91.22
127,540.0,22.58,88.43,31.82,91.74
128,540.0,22.59,88.36,52.47,76.05
129,540.0,22.6,88.37,48.15,75.64
130,540.0,22.6,88.41,57.86,94.19
131,540.0,22.61,88.36,53.24,76.12
132,600.0,22.48,88.34,43.45,76.91
133,600.0,22.48,88.39,72.35,79.87
134,600.0,22.5,88.35,62.71,78.73
135,600.0,22.51,88.37,40.16,76.83
136,600.0,22.54,88.35,48.75,75.02
137,600.0,22.56,88.35,45.88,79.4
138,600.0,22.56,88.36,47.8,79.58
139,600.0,22.56,88.39,44.32,84.67
140,600.0,22.57,88.42,23.03,82.66
141,600.0,22.58,88.43,29.96,83.32
142,600.0,22.6,88.37,43.04,73.27
143,600.0,22.61,88.36,43.6,73.33
144,660.0,22.48,88.34,40.92,74.59
145,660.0,22.5,88.35,55.1,75.93
146,660.0,22.51,88.36,49.01,75.36
147,660.0,22.51,88.37,46.04,74.21
148,660.0,22.54,88.34,47.09,73.6
149,660.0,22.54,88.35,47.54,73.64
150,660.0,22.56,88.36,43.18,78.67
151,660.0,22.57,88.42,22.4,79.84
152,660.0,22.58,88.43,27.68,80.34
153,660.0,22.59,88.36,45.58,78.9
154,660.0,22.6,88.37,41.6,70.41
155,660.0,22.6,88.41,47.5,82.21
156,660.0,22.61,88.36,43.15,76.57
157,720.0,22.5,88.35,60.5,75.35
158,720.0,22.51,88.37,42.58,70.66
159,720.0,22.54,88.35,57.5,72.43
160,720.0,22.56,88.35,55.36,77.92
161,720.0,22.56,88.36,50.16,77.43
162,720.0,22.56,88.39,47.44,78.46
163,720.0,22.59,88.36,53.61,69.93
164,720.0,22.6,88.37,45.21,69.13
165,720.0,22.6,88.41,45.63,69.47
166,720.0,22.61,88.36,50.46,69.63
167,780.0,22.48,88.34,43.2,71.32
168,780.0,22.48,88.39,58.63,70.12
169,780.0,22.5,88.35,61.76,73.07
170,780.0,22.51,88.37,42.32,68.58
171,780.0,22.54,88.34,53.66,69.29
172,780.0,22.54,88.35,51.31,69.07
173,780.0,22.56,88.35,52.26,74.92
174,780.0,22.56,88.36,47.16,74.44
175,780.0,22.56,88.39,49.31,72.15
176,780.0,22.57,88.42,19.59,69.34
177,780.0,22.58,88.43,24.58,69.81
178,780.0,22.59,88.36,50.01,67.76
179,780.0,22.6,88.37,48.08,67.58
180,780.0,22.6,88.41,42.75,71.53
181,780.0,22.61,88.36,46.1,67.39
182,840.0,22.48,88.34,40.57,69.15
183,840.0,22.48,88.39,51.49,67.81
184,840.0,22.5,88.35,54.88,70.5
185,840.0,22.51,88.36,51.17,70.15
186,840.0,22.51,88.37,36.66,66.41
187,840.0,22.54,88.35,42.77,67.54
188,840.0,22.56,88.35,42.88,73.33
189,840.0,22.56,88.36,40.66,73.12
190,840.0,22.56,88.39,42.29,72.17
191,840.0,22.57,88.42,18.65,69.94
192,840.0,22.58,88.43,21.83,70.24
193,840.0,22.59,88.36,41.03,66.46
194,840.0,22.6,88.37,40.46,66.4
195,840.0,22.6,88.41,53.25,73.2
196,840.0,22.61,88.36,40.26,66.38
197,900.0,22.48,88.34,36.7,69.61
198,900.0,22.48,88.39,54.81,68.35
199,900.0,22.5,88.35,50.05,70.87
200,900.0,22.56,88.35,41.9,74.68
201,900.0,22.56,88.36,38.76,74.38
202,900.0,22.56,88.39,47.85,72.3
203,900.0,22.57,88.42,19.75,69.64
204,900.0,22.58,88.43,22.02,69.86
205,900.0,22.59,88.36,45.27,68.11
206,900.0,22.6,88.41,38.37,71.4
207,900.0,22.61,88.36,41.17,67.72
208,960.0,22.48,88.34,45.94,74.71
209,960.0,22.48,88.39,54.2,70.16
210,960.0,22.5,88.35,53.58,75.43
211,960.0,22.51,88.37,37.55,68.59
212,960.0,22.54,88.35,47.39,73.15
213,960.0,22.56,88.35,45.58,77.14
214,960.0,22.56,88.36,48.56,77.42
215,960.0,22.57,88.42,24.26,74.22
216,960.0,22.59,88.36,48.7,69.94
217,960.0,22.6,88.41,47.73,76.44
218,1020.0,22.48,88.34,44.27,78.79
219,1020.0,22.48,88.39,98.3,81.16
220,1020.0,22.5,88.35,59.34,80.21
221,1020.0,22.51,88.36,69.54,81.17
222,1020.0,22.51,88.37,45.8,76.21
223,1020.0,22.56,88.35,51.16,81.52
224,1020.0,22.56,88.36,58.32,82.2
225,1020.0,22.56,88.39,108.92,85.96
226,1020.0,22.59,88.36,75.34,74.99
227,1020.0,22.6,88.37,76.27,75.07
228,1020.0,22.6,88.41,66.45,81.95
229,1020.0,22.61,88.36,53.47,72.92
230,1080.0,22.48,88.34,48.52,85.35
231,1080.0,22.48,88.39,144.56,95.86
232,1080.0,22.5,88.35,74.75,87.82
233,1080.0,22.51,88.37,65.21,88.37
234,1080.0,22.54,88.35,83.29,89.02
235,1080.0,22.56,88.36,90.93,88.88
236,1080.0,22.59,88.36,118.03,81.12
237,1080.0,22.6,88.37,119.31,81.24
238,1080.0,22.6,88.41,82.05,90.65
239,1080.0,22.61,88.36,75.08,77.07
240,1140.0,22.48,88.34,54.82,88.89
241,1140.0,22.48,88.39,148.43,96.61
242,1140.0,22.5,88.35,100.44,93.19
243,1140.0,22.51,88.36,108.66,93.97
244,1140.0,22.51,88.37,79.88,90.14
245,1140.0,22.54,88.35,90.85,89.81
246,1140.0,22.56,88.35,83.33,88.58
247,1140.0,22.56,88.36,91.73,89.37
248,1140.0,22.56,88.39,173.1,101.09
249,1140.0,22.57,88.42,77.46,92.07
250,1140.0,22.58,88.43,67.11,91.09
251,1140.0,22.59,88.36,134.56,84.42
252,1140.0,22.6,88.37,135.16,84.48
253,1140.0,22.6,88.41,88.88,93.14
254,1140.0,22.61,88.36,88.17,80.04
255,1200.0,22.48,88.34,65.04,86.59
256,1200.0,22.48,88.39,137.58,96.47
257,1200.0,22.51,88.36,117.73,91.56
258,1200.0,22.51,88.37,79.82,91.02
259,1200.0,22.54,88.35,107.69,90.46
260,1200.0,22.56,88.36,102.74,91.44
261,1200.0,22.57,88.42,145.86,96.05
262,1200.0,22.58,88.43,71.01,88.98
263,1200.0,22.6,88.37,94.7,82.08
264,1200.0,22.6,88.41,87.11,90.5
265,1260.0,22.48,88.34,69.07,90.52
266,1260.0,22.5,88.35,111.36,94.51
267,1260.0,22.51,88.36,96.6,93.11
268,1260.0,22.51,88.37,93.3,96.31
269,1260.0,22.54,88.35,99.68,97.17
270,1260.0,22.56,88.36,92.81,92.54
271,1260.0,22.57,88.42,222.07,108.14
272,1260.0,22.6,88.41,87.62,95.45
273,1320.0,22.48,88.34,77.05,93.89
274,1320.0,22.5,88.35,108.56,96.86
275,1320.0,22.51,88.37,89.4,90.92
276,1320.0,22.54,88.35,97.62,99.91
277,1320.0,22.56,88.35,96.3,94.95
278,1320.0,22.56,88.36,104.97,95.76
279,1320.0,22.56,88.39,93.2,98.23
280,1320.0,22.57,88.42,136.72,102.34
281,1320.0,22.58,88.43,70.74,96.11
282,1320.0,22.59,88.36,102.75,85.57
283,1320.0,22.6,88.37,106.04,85.88
284,1320.0,22.6,88.41,92.91,98.2
285,1320.0,22.61,88.36,99.38,85.25
286,1380.0,22.48,88.39,122.0,104.34
287,1380.0,22.51,88.36,100.26,105.16
288,1380.0,22.51,88.37,87.81,101.11
289,1380.0,22.54,88.34,95.57,101.81
290,1380.0,22.54,88.35,105.15,102.71
291,1380.0,22.56,88.35,105.73,97.59
292,1380.0,22.56,88.39,87.59,100.2
293,1380.0,22.57,88.42,258.86,116.36
294,1380.0,22.58,88.43,60.9,97.68
295,1380.0,22.59,88.36,110.72,87.02
296,1380.0,22.6,88.37,117.79,87.69
297,1380.0,22.6,88.41,95.74,100.97
298,1380.0,22.61,88.36,134.55,89.27
