lat,lon,hour,month,time,value
28.42,77.031,0,7,2024-07-01 00:00:00,62.8
28.42,77.031,1,7,2024-07-01 01:00:00,91.01
28.42,77.031,2,7,2024-07-01 02:00:00,78.13
28.42,77.031,3,7,2024-07-01 03:00:00,63.82
28.42,77.031,4,7,2024-07-01 04:00:00,60.82
28.42,77.031,5,7,2024-07-01 05:00:00,45.3
28.42,77.031,15,7,2024-07-01 15:00:00,59.0
28.42,77.031,16,7,2024-07-01 16:00:00,37.6
28.42,77.031,17,7,2024-07-01 17:00:00,49.15
28.42,77.031,1,7,2024-07-02 01:00:00,60.0
28.42,77.031,7,7,2024-07-02 07:00:00,68.99
28.42,77.031,8,7,2024-07-02 08:00:00,68.76
28.42,77.031,9,7,2024-07-02 09:00:00,81.79
28.42,77.031,17,7,2024-07-02 17:00:00,58.6
28.42,77.031,22,7,2024-07-02 22:00:00,89.7
28.42,77.031,1,7,2024-07-03 01:00:00,88.87
28.42,77.031,2,7,2024-07-03 02:00:00,90.43
28.42,77.031,3,7,2024-07-03 03:00:00,85.76
28.42,77.031,4,7,2024-07-03 04:00:00,61.53
28.42,77.031,5,7,2024-07-03 05:00:00,43.14
28.42,77.031,6,7,2024-07-03 06:00:00,35.1
28.42,77.031,15,7,2024-07-03 15:00:00,35.62
28.42,77.031,16,7,2024-07-03 16:00:00,37.6
28.42,77.031,17,7,2024-07-03 17:00:00,37.6
28.42,77.031,18,7,2024-07-03 18:00:00,27.7
28.42,77.031,20,7,2024-07-03 20:00:00,37.19
28.42,77.031,21,7,2024-07-03 21:00:00,40.1
28.42,77.031,0,7,2024-07-04 00:00:00,41.5
28.42,77.031,1,7,2024-07-04 01:00:00,40.66
28.42,77.031,2,7,2024-07-04 02:00:00,39.16
28.42,77.031,4,7,2024-07-04 04:00:00,59.66
28.42,77.031,5,7,2024-07-04 05:00:00,66.26
28.42,77.031,6,7,2024-07-04 06:00:00,53.72
28.42,77.031,7,7,2024-07-04 07:00:00,36.93
28.42,77.031,8,7,2024-07-04 08:00:00,38.26
28.42,77.031,9,7,2024-07-04 09:00:00,44.18
28.42,77.031,10,7,2024-07-04 10:00:00,35.76
28.42,77.031,11,7,2024-07-04 11:00:00,43.62
28.42,77.031,12,7,2024-07-04 12:00:00,50.64
28.42,77.031,13,7,2024-07-04 13:00:00,74.72
28.42,77.031,14,7,2024-07-04 14:00:00,70.5
28.42,77.031,16,7,2024-07-04 16:00:00,35.86
28.42,77.031,17,7,2024-07-04 17:00:00,40.28
28.42,77.031,18,7,2024-07-04 18:00:00,27.5
