lat,lon,hour,month,time,value
28.486,77.066,0,7,2024-07-01 00:00:00,76.43
28.486,77.066,1,7,2024-07-01 01:00:00,59.89
28.486,77.066,2,7,2024-07-01 02:00:00,68.75
28.486,77.066,3,7,2024-07-01 03:00:00,59.95
28.486,77.066,4,7,2024-07-01 04:00:00,54.47
28.486,77.066,5,7,2024-07-01 05:00:00,42.3
28.486,77.066,6,7,2024-07-01 06:00:00,35.69
28.486,77.066,7,7,2024-07-01 07:00:00,38.11
28.486,77.066,8,7,2024-07-01 08:00:00,37.74
28.486,77.066,9,7,2024-07-01 09:00:00,52.29
28.486,77.066,10,7,2024-07-01 10:00:00,84.76
28.486,77.066,11,7,2024-07-01 11:00:00,103.74
28.486,77.066,12,7,2024-07-01 12:00:00,80.38
28.486,77.066,13,7,2024-07-01 13:00:00,51.69
28.486,77.066,14,7,2024-07-01 14:00:00,70.02
28.486,77.066,15,7,2024-07-01 15:00:00,63.12
28.486,77.066,16,7,2024-07-01 16:00:00,70.47
28.486,77.066,17,7,2024-07-01 17:00:00,52.01
28.486,77.066,18,7,2024-07-01 18:00:00,59.94
28.486,77.066,19,7,2024-07-01 19:00:00,55.13
28.486,77.066,20,7,2024-07-01 20:00:00,63.02
28.486,77.066,21,7,2024-07-01 21:00:00,76.76
28.486,77.066,22,7,2024-07-01 22:00:00,68.75
28.486,77.066,23,7,2024-07-01 23:00:00,85.88
28.486,77.066,0,7,2024-07-02 00:00:00,74.23
28.486,77.066,1,7,2024-07-02 01:00:00,104.18
28.486,77.066,2,7,2024-07-02 02:00:00,104.96
28.486,77.066,3,7,2024-07-02 03:00:00,80.6
28.486,77.066,4,7,2024-07-02 04:00:00,55.52
28.486,77.066,5,7,2024-07-02 05:00:00,62.57
28.486,77.066,6,7,2024-07-02 06:00:00,61.21
28.486,77.066,7,7,2024-07-02 07:00:00,57.34
28.486,77.066,8,7,2024-07-02 08:00:00,72.27
28.486,77.066,9,7,2024-07-02 09:00:00,136.4
28.486,77.066,10,7,2024-07-02 10:00:00,156.44
28.486,77.066,11,7,2024-07-02 11:00:00,97.62
28.486,77.066,12,7,2024-07-02 12:00:00,80.52
28.486,77.066,13,7,2024-07-02 13:00:00,73.73
28.486,77.066,14,7,2024-07-02 14:00:00,51.94
28.486,77.066,15,7,2024-07-02 15:00:00,41.48
28.486,77.066,16,7,2024-07-02 16:00:00,37.32
28.486,77.066,17,7,2024-07-02 17:00:00,41.4
28.486,77.066,18,7,2024-07-02 18:00:00,38.89
28.486,77.066,19,7,2024-07-02 19:00:00,43.8
28.486,77.066,20,7,2024-07-02 20:00:00,46.15
28.486,77.066,21,7,2024-07-02 21:00:00,48.15
28.486,77.066,22,7,2024-07-02 22:00:00,62.21
28.486,77.066,23,7,2024-07-02 23:00:00,67.5
28.486,77.066,0,7,2024-07-03 00:00:00,57.79
28.486,77.066,1,7,2024-07-03 01:00:00,49.84
28.486,77.066,2,7,2024-07-03 02:00:00,59.35
28.486,77.066,3,7,2024-07-03 03:00:00,58.1
28.486,77.066,4,7,2024-07-03 04:00:00,53.25
28.486,77.066,5,7,2024-07-03 05:00:00,46.78
28.486,77.066,6,7,2024-07-03 06:00:00,43.38
28.486,77.066,7,7,2024-07-03 07:00:00,52.49
28.486,77.066,8,7,2024-07-03 08:00:00,45.94
28.486,77.066,9,7,2024-07-03 09:00:00,60.32
28.486,77.066,10,7,2024-07-03 10:00:00,47.18
28.486,77.066,11,7,2024-07-03 11:00:00,36.6
28.486,77.066,12,7,2024-07-03 12:00:00,35.35
28.486,77.066,13,7,2024-07-03 13:00:00,106.13
28.486,77.066,14,7,2024-07-03 14:00:00,92.15
28.486,77.066,15,7,2024-07-03 15:00:00,85.57
28.486,77.066,16,7,2024-07-03 16:00:00,33.3
28.486,77.066,17,7,2024-07-03 17:00:00,33.3
28.486,77.066,18,7,2024-07-03 18:00:00,33.3
28.486,77.066,19,7,2024-07-03 19:00:00,34.31
28.486,77.066,20,7,2024-07-03 20:00:00,33.6
