lat,lon,hour,month,time,value
22.54,88.34,0,3,2023-03-28 00:00:00,51.97899615
22.54,88.34,1,3,2023-03-28 01:00:00,53.04776082
22.54,88.34,2,3,2023-03-28 02:00:00,43.13505547
22.54,88.34,3,3,2023-03-28 03:00:00,34.38896166
22.54,88.34,4,3,2023-03-28 04:00:00,35.39191896
22.54,88.34,5,3,2023-03-28 05:00:00,36.01551166
22.54,88.34,6,3,2023-03-28 06:00:00,36.52262184
22.54,88.34,7,3,2023-03-28 07:00:00,40.03898752
22.54,88.34,8,3,2023-03-28 08:00:00,44.21563982
22.54,88.34,9,3,2023-03-28 09:00:00,48.61475807
22.54,88.34,10,3,2023-03-28 10:00:00,54.04107719
22.54,88.34,11,3,2023-03-28 11:00:00,59.18440535
22.54,88.34,12,3,2023-03-28 12:00:00,60.65457398
22.54,88.34,13,3,2023-03-28 13:00:00,59.64653777
22.54,88.34,14,3,2023-03-28 14:00:00,56.40923676
22.54,88.34,15,3,2023-03-28 15:00:00,53.70709258
22.54,88.34,16,3,2023-03-28 16:00:00,52.2452687
22.54,88.34,17,3,2023-03-28 17:00:00,46.1875506
22.54,88.34,18,3,2023-03-28 18:00:00,44.71742741
22.54,88.34,19,3,2023-03-28 19:00:00,44.42143848
22.54,88.34,20,3,2023-03-28 20:00:00,41.70954906
22.54,88.34,21,3,2023-03-28 21:00:00,40.71065866
22.54,88.34,22,3,2023-03-28 22:00:00,45.9215271
22.54,88.34,23,3,2023-03-28 23:00:00,41.72473988
22.54,88.34,0,3,2023-03-29 00:00:00,40.21037695
22.54,88.34,1,3,2023-03-29 01:00:00,38.21151945
22.54,88.34,2,3,2023-03-29 02:00:00,37.52939722
22.54,88.34,3,3,2023-03-29 03:00:00,34.56864051
22.54,88.34,4,3,2023-03-29 04:00:00,32.62848573
22.54,88.34,5,3,2023-03-29 05:00:00,31.85488125
22.54,88.34,6,3,2023-03-29 06:00:00,32.08698606
22.54,88.34,7,3,2023-03-29 07:00:00,33.18849526
22.54,88.34,8,3,2023-03-29 08:00:00,34.19973737
22.54,88.34,9,3,2023-03-29 09:00:00,34.7106704
22.54,88.34,10,3,2023-03-29 10:00:00,36.83886681
22.54,88.34,11,3,2023-03-29 11:00:00,40.07478305
22.54,88.34,12,3,2023-03-29 12:00:00,43.75402039
22.54,88.34,13,3,2023-03-29 13:00:00,50.73867158
22.54,88.34,14,3,2023-03-29 14:00:00,43.31439273
22.54,88.34,15,3,2023-03-29 15:00:00,40.18706046
22.54,88.34,16,3,2023-03-29 16:00:00,39.51570388
22.54,88.34,17,3,2023-03-29 17:00:00,38.02458177
22.54,88.34,18,3,2023-03-29 18:00:00,37.86163203
22.54,88.34,19,3,2023-03-29 19:00:00,36.51784982
22.54,88.34,20,3,2023-03-29 20:00:00,37.01187993
22.54,88.34,21,3,2023-03-29 21:00:00,38.8151965
22.54,88.34,22,3,2023-03-29 22:00:00,37.06979343
22.54,88.34,23,3,2023-03-29 23:00:00,34.77176485
22.54,88.34,0,3,2023-03-30 00:00:00,36.10706746
22.54,88.34,1,3,2023-03-30 01:00:00,35.95536526
22.54,88.34,2,3,2023-03-30 02:00:00,34.11214695
22.54,88.34,3,3,2023-03-30 03:00:00,32.80304815
22.54,88.34,4,3,2023-03-30 04:00:00,31.73548249
22.54,88.34,5,3,2023-03-30 05:00:00,30.79074986
22.54,88.34,6,3,2023-03-30 06:00:00,31.91724397
22.54,88.34,7,3,2023-03-30 07:00:00,32.90706514
22.54,88.34,8,3,2023-03-30 08:00:00,32.69733063
22.54,88.34,9,3,2023-03-30 09:00:00,34.23553646
22.54,88.34,10,3,2023-03-30 10:00:00,35.50824985
22.54,88.34,11,3,2023-03-30 11:00:00,36.70740384
22.54,88.34,12,3,2023-03-30 12:00:00,39.4020724
22.54,88.34,13,3,2023-03-30 13:00:00,39.22414743
22.54,88.34,14,3,2023-03-30 14:00:00,39.88393494
22.54,88.34,15,3,2023-03-30 15:00:00,38.74140424
22.54,88.34,16,3,2023-03-30 16:00:00,38.37174775
22.54,88.34,17,3,2023-03-30 17:00:00,38.13264878
22.54,88.34,18,3,2023-03-30 18:00:00,38.49864947
22.54,88.34,19,3,2023-03-30 19:00:00,37.89168939
22.54,88.34,20,3,2023-03-30 20:00:00,36.79922912
