lat,lon,hour,month,time,value
22.56,88.39,0,3,2023-03-28 00:00:00,58.44348845
22.56,88.39,1,3,2023-03-28 01:00:00,80.43223399
22.56,88.39,2,3,2023-03-28 02:00:00,61.19396678
22.56,88.39,3,3,2023-03-28 03:00:00,39.01570848
22.56,88.39,4,3,2023-03-28 04:00:00,35.4080155
22.56,88.39,5,3,2023-03-28 05:00:00,37.69610205
22.56,88.39,6,3,2023-03-28 06:00:00,36.87713752
22.56,88.39,7,3,2023-03-28 07:00:00,38.09158649
22.56,88.39,8,3,2023-03-28 08:00:00,42.14486563
22.56,88.39,9,3,2023-03-28 09:00:00,46.93994812
22.56,88.39,10,3,2023-03-28 10:00:00,53.33095066
22.56,88.39,11,3,2023-03-28 11:00:00,59.23583237
22.56,88.39,12,3,2023-03-28 12:00:00,60.05675495
22.56,88.39,13,3,2023-03-28 13:00:00,61.00332568
22.56,88.39,14,3,2023-03-28 14:00:00,61.41671144
22.56,88.39,15,3,2023-03-28 15:00:00,58.40463592
22.56,88.39,16,3,2023-03-28 16:00:00,52.22187112
22.56,88.39,17,3,2023-03-28 17:00:00,50.56863541
22.56,88.39,18,3,2023-03-28 18:00:00,48.26100697
22.56,88.39,19,3,2023-03-28 19:00:00,48.02531358
22.56,88.39,20,3,2023-03-28 20:00:00,47.67192182
22.56,88.39,21,3,2023-03-28 21:00:00,47.9892607
22.56,88.39,22,3,2023-03-28 22:00:00,49.13622547
22.56,88.39,23,3,2023-03-28 23:00:00,42.32257342
22.56,88.39,0,3,2023-03-29 00:00:00,43.80835762
22.56,88.39,1,3,2023-03-29 01:00:00,39.74644323
22.56,88.39,2,3,2023-03-29 02:00:00,39.48005047
22.56,88.39,3,3,2023-03-29 03:00:00,35.25143297
22.56,88.39,4,3,2023-03-29 04:00:00,32.5325674
22.56,88.39,5,3,2023-03-29 05:00:00,31.52918291
22.56,88.39,6,3,2023-03-29 06:00:00,31.57611325
22.56,88.39,7,3,2023-03-29 07:00:00,31.42852307
22.56,88.39,8,3,2023-03-29 08:00:00,32.12506926
22.56,88.39,9,3,2023-03-29 09:00:00,34.54576394
22.56,88.39,10,3,2023-03-29 10:00:00,35.86295987
22.56,88.39,11,3,2023-03-29 11:00:00,39.79723543
22.56,88.39,12,3,2023-03-29 12:00:00,42.53410296
22.56,88.39,13,3,2023-03-29 13:00:00,45.02489035
22.56,88.39,14,3,2023-03-29 14:00:00,41.61367171
22.56,88.39,15,3,2023-03-29 15:00:00,42.10404162
22.56,88.39,16,3,2023-03-29 16:00:00,41.4249606
22.56,88.39,17,3,2023-03-29 17:00:00,40.1129873
22.56,88.39,18,3,2023-03-29 18:00:00,38.68711456
22.56,88.39,19,3,2023-03-29 19:00:00,38.37884224
22.56,88.39,20,3,2023-03-29 20:00:00,38.06116971
22.56,88.39,21,3,2023-03-29 21:00:00,39.54708719
22.56,88.39,22,3,2023-03-29 22:00:00,38.17660032
22.56,88.39,23,3,2023-03-29 23:00:00,36.21662422
22.56,88.39,0,3,2023-03-30 00:00:00,36.65944338
22.56,88.39,1,3,2023-03-30 01:00:00,37.13451497
22.56,88.39,2,3,2023-03-30 02:00:00,35.96655042
22.56,88.39,3,3,2023-03-30 03:00:00,32.87407025
22.56,88.39,4,3,2023-03-30 04:00:00,31.40099176
22.56,88.39,5,3,2023-03-30 05:00:00,33.86544535
22.56,88.39,6,3,2023-03-30 06:00:00,38.32093844
22.56,88.39,7,3,2023-03-30 07:00:00,38.59237379
22.56,88.39,8,3,2023-03-30 08:00:00,37.27266827
22.56,88.39,9,3,2023-03-30 09:00:00,39.32283456
22.56,88.39,10,3,2023-03-30 10:00:00,35.2907545
22.56,88.39,11,3,2023-03-30 11:00:00,36.39221382
22.56,88.39,12,3,2023-03-30 12:00:00,42.9308597
22.56,88.39,13,3,2023-03-30 13:00:00,41.07627853
22.56,88.39,14,3,2023-03-30 14:00:00,39.5921022
22.56,88.39,15,3,2023-03-30 15:00:00,39.64823155
22.56,88.39,16,3,2023-03-30 16:00:00,39.30079146
22.56,88.39,17,3,2023-03-30 17:00:00,38.98841671
22.56,88.39,18,3,2023-03-30 18:00:00,38.37320608
22.56,88.39,19,3,2023-03-30 19:00:00,37.73875111
22.56,88.39,20,3,2023-03-30 20:00:00,38.10745515
22.56,88.39,21,3,2023-03-30 21:00:00,33.44959105
22.56,88.39,22,3,2023-03-30 22:00:00,33.46600662
22.56,88.39,23,3,2023-03-30 23:00:00,34.93061914
22.56,88.39,0,3,2023-03-31 00:00:00,33.1301973
22.56,88.39,1,3,2023-03-31 01:00:00,32.63889201
22.56,88.39,2,3,2023-03-31 02:00:00,33.71146256
22.56,88.39,3,3,2023-03-31 03:00:00,30.46038013
22.56,88.39,4,3,2023-03-31 04:00:00,32.70168294
22.56,88.39,5,3,2023-03-31 05:00:00,31.50899105
22.56,88.39,6,3,2023-03-31 06:00:00,38.91625335
22.56,88.39,7,3,2023-03-31 07:00:00,32.51173927
22.56,88.39,8,3,2023-03-31 08:00:00,36.51650933
22.56,88.39,9,3,2023-03-31 09:00:00,34.67325662
22.56,88.39,10,3,2023-03-31 10:00:00,32.76486549
22.56,88.39,11,3,2023-03-31 11:00:00,33.65305097
22.56,88.39,12,3,2023-03-31 12:00:00,36.42448674
22.56,88.39,13,3,2023-03-31 13:00:00,42.08305904
22.56,88.39,14,3,2023-03-31 14:00:00,44.73826642
22.56,88.39,15,3,2023-03-31 15:00:00,43.78986017
22.56,88.39,16,3,2023-03-31 16:00:00,43.57901635
22.56,88.39,17,3,2023-03-31 17:00:00,42.88719697
