lat,lon,hour,month,time,value
25.62,85.147,21,7,2024-07-20 21:00:00,22.98
25.62,85.147,22,7,2024-07-20 22:00:00,28.9
25.62,85.147,23,7,2024-07-20 23:00:00,29.41
25.62,85.147,0,7,2024-07-21 00:00:00,25.33
25.62,85.147,1,7,2024-07-21 01:00:00,21.99
25.62,85.147,2,7,2024-07-21 02:00:00,22.42
25.62,85.147,3,7,2024-07-21 03:00:00,23.89
25.62,85.147,14,8,2024-08-31 14:00:00,48.76
25.62,85.147,15,8,2024-08-31 15:00:00,45.86
25.62,85.147,16,8,2024-08-31 16:00:00,56.2
25.62,85.147,17,8,2024-08-31 17:00:00,58.77
25.62,85.147,18,8,2024-08-31 18:00:00,63.25
25.62,85.147,19,8,2024-08-31 19:00:00,41.68
25.62,85.147,20,8,2024-08-31 20:00:00,93.79
25.62,85.147,21,8,2024-08-31 21:00:00,86.67
25.62,85.147,22,8,2024-08-31 22:00:00,72.13
25.62,85.147,23,8,2024-08-31 23:00:00,64.43
25.62,85.147,0,9,2024-09-01 00:00:00,59.64
25.62,85.147,1,9,2024-09-01 01:00:00,61.42
25.62,85.147,2,9,2024-09-01 02:00:00,54.8
25.62,85.147,3,9,2024-09-01 03:00:00,54.27
25.62,85.147,4,9,2024-09-01 04:00:00,54.23
25.62,85.147,5,9,2024-09-01 05:00:00,57.57
25.62,85.147,6,9,2024-09-01 06:00:00,55.29
25.62,85.147,7,9,2024-09-01 07:00:00,35.93
25.62,85.147,8,9,2024-09-01 08:00:00,48.26
25.62,85.147,9,9,2024-09-01 09:00:00,30.82
25.62,85.147,10,9,2024-09-01 10:00:00,40.79
25.62,85.147,11,9,2024-09-01 11:00:00,46.33
25.62,85.147,12,9,2024-09-01 12:00:00,44.9
25.62,85.147,13,9,2024-09-01 13:00:00,33.91
25.62,85.147,14,9,2024-09-01 14:00:00,38.36
25.62,85.147,15,9,2024-09-01 15:00:00,62.47
25.62,85.147,16,9,2024-09-01 16:00:00,30.34
25.62,85.147,17,9,2024-09-01 17:00:00,23.56
25.62,85.147,18,9,2024-09-01 18:00:00,41.16
25.62,85.147,19,9,2024-09-01 19:00:00,39.49
25.62,85.147,20,9,2024-09-01 20:00:00,39.25
25.62,85.147,21,9,2024-09-01 21:00:00,31.37
25.62,85.147,22,9,2024-09-01 22:00:00,24.44
25.62,85.147,23,9,2024-09-01 23:00:00,26.24
25.62,85.147,0,9,2024-09-02 00:00:00,27.82
25.62,85.147,1,9,2024-09-02 01:00:00,27.92
25.62,85.147,2,9,2024-09-02 02:00:00,29.29
25.62,85.147,3,9,2024-09-02 03:00:00,32.8
25.62,85.147,4,9,2024-09-02 04:00:00,42.53
25.62,85.147,5,9,2024-09-02 05:00:00,49.24
25.62,85.147,6,9,2024-09-02 06:00:00,58.66
25.62,85.147,7,9,2024-09-02 07:00:00,62.43
25.62,85.147,8,9,2024-09-02 08:00:00,59.12
25.62,85.147,9,9,2024-09-02 09:00:00,52.33
25.62,85.147,10,9,2024-09-02 10:00:00,49.39
25.62,85.147,11,9,2024-09-02 11:00:00,50.15
25.62,85.147,12,9,2024-09-02 12:00:00,40.66
25.62,85.147,13,9,2024-09-02 13:00:00,35.27
25.62,85.147,14,9,2024-09-02 14:00:00,33.57
25.62,85.147,15,9,2024-09-02 15:00:00,30.68
25.62,85.147,16,9,2024-09-02 16:00:00,32.64
25.62,85.147,17,9,2024-09-02 17:00:00,35.43
25.62,85.147,18,9,2024-09-02 18:00:00,46.23
25.62,85.147,19,9,2024-09-02 19:00:00,57.36
25.62,85.147,20,9,2024-09-02 20:00:00,69.69
25.62,85.147,21,9,2024-09-02 21:00:00,67.45
25.62,85.147,22,9,2024-09-02 22:00:00,70.61
25.62,85.147,23,9,2024-09-02 23:00:00,75.33
25.62,85.147,0,9,2024-09-03 00:00:00,75.16
25.62,85.147,1,9,2024-09-03 01:00:00,77.94
25.62,85.147,2,9,2024-09-03 02:00:00,81.76
25.62,85.147,3,9,2024-09-03 03:00:00,74.57
25.62,85.147,4,9,2024-09-03 04:00:00,66.58
25.62,85.147,5,9,2024-09-03 05:00:00,81.44
25.62,85.147,6,9,2024-09-03 06:00:00,85.43
25.62,85.147,7,9,2024-09-03 07:00:00,75.74
25.62,85.147,8,9,2024-09-03 08:00:00,64.12
25.62,85.147,9,9,2024-09-03 09:00:00,50.97
25.62,85.147,10,9,2024-09-03 10:00:00,49.63
25.62,85.147,11,9,2024-09-03 11:00:00,52.98
25.62,85.147,12,9,2024-09-03 12:00:00,41.87
25.62,85.147,13,9,2024-09-03 13:00:00,30.86
25.62,85.147,14,9,2024-09-03 14:00:00,27.66
25.62,85.147,15,9,2024-09-03 15:00:00,22.06
25.62,85.147,16,9,2024-09-03 16:00:00,23.3
25.62,85.147,17,9,2024-09-03 17:00:00,30.01
25.62,85.147,18,9,2024-09-03 18:00:00,39.22
25.62,85.147,19,9,2024-09-03 19:00:00,49.52
25.62,85.147,20,9,2024-09-03 20:00:00,32.19
25.62,85.147,21,9,2024-09-03 21:00:00,44.9
25.62,85.147,22,9,2024-09-03 22:00:00,43.05
25.62,85.147,23,9,2024-09-03 23:00:00,37.18
25.62,85.147,0,9,2024-09-04 00:00:00,41.7
25.62,85.147,1,9,2024-09-04 01:00:00,48.98
25.62,85.147,2,9,2024-09-04 02:00:00,55.09
25.62,85.147,3,9,2024-09-04 03:00:00,60.02
25.62,85.147,4,9,2024-09-04 04:00:00,69.06
25.62,85.147,5,9,2024-09-04 05:00:00,71.38
25.62,85.147,6,9,2024-09-04 06:00:00,71.31
25.62,85.147,7,9,2024-09-04 07:00:00,68.71
25.62,85.147,8,9,2024-09-04 08:00:00,73.9
25.62,85.147,9,9,2024-09-04 09:00:00,85.02
25.62,85.147,10,9,2024-09-04 10:00:00,74.25
25.62,85.147,11,9,2024-09-04 11:00:00,67.69
25.62,85.147,12,9,2024-09-04 12:00:00,61.69
25.62,85.147,13,9,2024-09-04 13:00:00,47.04
25.62,85.147,14,9,2024-09-04 14:00:00,21.56
25.62,85.147,15,9,2024-09-04 15:00:00,21.25
25.62,85.147,16,9,2024-09-04 16:00:00,29.73
25.62,85.147,17,9,2024-09-04 17:00:00,36.39
25.62,85.147,18,9,2024-09-04 18:00:00,55.8
25.62,85.147,19,9,2024-09-04 19:00:00,55.72
25.62,85.147,20,9,2024-09-04 20:00:00,72.0
25.62,85.147,21,9,2024-09-04 21:00:00,80.06
25.62,85.147,22,9,2024-09-04 22:00:00,71.63
25.62,85.147,23,9,2024-09-04 23:00:00,78.02
25.62,85.147,0,9,2024-09-05 00:00:00,73.38
25.62,85.147,1,9,2024-09-05 01:00:00,76.06
25.62,85.147,2,9,2024-09-05 02:00:00,77.2
25.62,85.147,3,9,2024-09-05 03:00:00,80.1
25.62,85.147,4,9,2024-09-05 04:00:00,81.84
25.62,85.147,5,9,2024-09-05 05:00:00,83.84
25.62,85.147,6,9,2024-09-05 06:00:00,91.99
25.62,85.147,7,9,2024-09-05 07:00:00,104.2
25.62,85.147,8,9,2024-09-05 08:00:00,99.2
25.62,85.147,9,9,2024-09-05 09:00:00,78.91
25.62,85.147,10,9,2024-09-05 10:00:00,52.1
25.62,85.147,11,9,2024-09-05 11:00:00,52.07
25.62,85.147,12,9,2024-09-05 12:00:00,62.39
25.62,85.147,13,9,2024-09-05 13:00:00,52.64
25.62,85.147,14,9,2024-09-05 14:00:00,73.61
25.62,85.147,15,9,2024-09-05 15:00:00,77.81
25.62,85.147,16,9,2024-09-05 16:00:00,70.2
25.62,85.147,17,9,2024-09-05 17:00:00,50.37
25.62,85.147,18,9,2024-09-05 18:00:00,67.98
25.62,85.147,19,9,2024-09-05 19:00:00,79.32
25.62,85.147,20,9,2024-09-05 20:00:00,84.3
25.62,85.147,21,9,2024-09-05 21:00:00,79.98
25.62,85.147,22,9,2024-09-05 22:00:00,58.13
25.62,85.147,23,9,2024-09-05 23:00:00,38.84
25.62,85.147,0,9,2024-09-06 00:00:00,18.46
25.62,85.147,1,9,2024-09-06 01:00:00,21.46
25.62,85.147,2,9,2024-09-06 02:00:00,17.82
25.62,85.147,3,9,2024-09-06 03:00:00,22.76
25.62,85.147,4,9,2024-09-06 04:00:00,41.69
25.62,85.147,5,9,2024-09-06 05:00:00,47.48
25.62,85.147,6,9,2024-09-06 06:00:00,48.5
25.62,85.147,7,9,2024-09-06 07:00:00,41.15
25.62,85.147,8,9,2024-09-06 08:00:00,32.41
25.62,85.147,9,9,2024-09-06 09:00:00,36.06
25.62,85.147,10,9,2024-09-06 10:00:00,41.55
25.62,85.147,11,9,2024-09-06 11:00:00,50.32
25.62,85.147,12,9,2024-09-06 12:00:00,90.48
25.62,85.147,13,9,2024-09-06 13:00:00,95.42
25.62,85.147,14,9,2024-09-06 14:00:00,85.67
25.62,85.147,15,9,2024-09-06 15:00:00,81.69
25.62,85.147,16,9,2024-09-06 16:00:00,76.64
25.62,85.147,17,9,2024-09-06 17:00:00,41.97
25.62,85.147,18,9,2024-09-06 18:00:00,53.45
25.62,85.147,19,9,2024-09-06 19:00:00,55.04
25.62,85.147,20,9,2024-09-06 20:00:00,54.69
25.62,85.147,21,9,2024-09-06 21:00:00,51.29
25.62,85.147,22,9,2024-09-06 22:00:00,55.37
25.62,85.147,23,9,2024-09-06 23:00:00,64.65
25.62,85.147,0,9,2024-09-07 00:00:00,82.84
25.62,85.147,1,9,2024-09-07 01:00:00,90.39
25.62,85.147,2,9,2024-09-07 02:00:00,91.11
25.62,85.147,3,9,2024-09-07 03:00:00,83.14
25.62,85.147,4,9,2024-09-07 04:00:00,81.4
25.62,85.147,5,9,2024-09-07 05:00:00,93.54
25.62,85.147,6,9,2024-09-07 06:00:00,135.52
25.62,85.147,7,9,2024-09-07 07:00:00,110.42
25.62,85.147,8,9,2024-09-07 08:00:00,90.66
25.62,85.147,9,9,2024-09-07 09:00:00,79.33
25.62,85.147,10,9,2024-09-07 10:00:00,80.35
25.62,85.147,11,9,2024-09-07 11:00:00,85.87
25.62,85.147,12,9,2024-09-07 12:00:00,88.93
25.62,85.147,13,9,2024-09-07 13:00:00,93.91
25.62,85.147,14,9,2024-09-07 14:00:00,78.21
25.62,85.147,15,9,2024-09-07 15:00:00,63.42
25.62,85.147,16,9,2024-09-07 16:00:00,61.94
25.62,85.147,17,9,2024-09-07 17:00:00,63.66
25.62,85.147,18,9,2024-09-07 18:00:00,65.09
25.62,85.147,19,9,2024-09-07 19:00:00,75.9
25.62,85.147,20,9,2024-09-07 20:00:00,84.51
25.62,85.147,21,9,2024-09-07 21:00:00,102.37
25.62,85.147,22,9,2024-09-07 22:00:00,96.77
25.62,85.147,23,9,2024-09-07 23:00:00,108.68
25.62,85.147,0,9,2024-09-08 00:00:00,107.48
25.62,85.147,1,9,2024-09-08 01:00:00,103.41
25.62,85.147,2,9,2024-09-08 02:00:00,103.8
25.62,85.147,3,9,2024-09-08 03:00:00,100.51
25.62,85.147,4,9,2024-09-08 04:00:00,78.33
25.62,85.147,5,9,2024-09-08 05:00:00,83.19
25.62,85.147,6,9,2024-09-08 06:00:00,97.5
25.62,85.147,7,9,2024-09-08 07:00:00,101.9
25.62,85.147,8,9,2024-09-08 08:00:00,94.65
25.62,85.147,9,9,2024-09-08 09:00:00,82.86
25.62,85.147,10,9,2024-09-08 10:00:00,74.49
25.62,85.147,11,9,2024-09-08 11:00:00,46.57
25.62,85.147,12,9,2024-09-08 12:00:00,44.47
25.62,85.147,13,9,2024-09-08 13:00:00,31.74
25.62,85.147,14,9,2024-09-08 14:00:00,36.85
25.62,85.147,15,9,2024-09-08 15:00:00,49.44
25.62,85.147,16,9,2024-09-08 16:00:00,19.53
25.62,85.147,17,9,2024-09-08 17:00:00,17.24
25.62,85.147,18,9,2024-09-08 18:00:00,20.56
25.62,85.147,19,9,2024-09-08 19:00:00,23.54
25.62,85.147,20,9,2024-09-08 20:00:00,21.21
25.62,85.147,21,9,2024-09-08 21:00:00,28.01
25.62,85.147,22,9,2024-09-08 22:00:00,44.19
25.62,85.147,23,9,2024-09-08 23:00:00,50.97
25.62,85.147,0,9,2024-09-09 00:00:00,50.85
25.62,85.147,1,9,2024-09-09 01:00:00,43.09
25.62,85.147,2,9,2024-09-09 02:00:00,42.45
25.62,85.147,3,9,2024-09-09 03:00:00,45.59
25.62,85.147,4,9,2024-09-09 04:00:00,52.62
25.62,85.147,5,9,2024-09-09 05:00:00,59.12
25.62,85.147,6,9,2024-09-09 06:00:00,67.69
25.62,85.147,7,9,2024-09-09 07:00:00,70.37
25.62,85.147,8,9,2024-09-09 08:00:00,67.03
25.62,85.147,9,9,2024-09-09 09:00:00,56.79
25.62,85.147,10,9,2024-09-09 10:00:00,51.93
25.62,85.147,11,9,2024-09-09 11:00:00,37.3
25.62,85.147,12,9,2024-09-09 12:00:00,39.56
25.62,85.147,13,9,2024-09-09 13:00:00,29.86
25.62,85.147,14,9,2024-09-09 14:00:00,24.86
25.62,85.147,15,9,2024-09-09 15:00:00,28.27
25.62,85.147,16,9,2024-09-09 16:00:00,27.37
25.62,85.147,17,9,2024-09-09 17:00:00,29.98
25.62,85.147,18,9,2024-09-09 18:00:00,27.37
25.62,85.147,19,9,2024-09-09 19:00:00,33.11
25.62,85.147,20,9,2024-09-09 20:00:00,35.96
25.62,85.147,21,9,2024-09-09 21:00:00,30.16
25.62,85.147,22,9,2024-09-09 22:00:00,26.52
25.62,85.147,23,9,2024-09-09 23:00:00,28.58
25.62,85.147,0,9,2024-09-10 00:00:00,32.78
25.62,85.147,1,9,2024-09-10 01:00:00,32.66
25.62,85.147,2,9,2024-09-10 02:00:00,30.24
25.62,85.147,3,9,2024-09-10 03:00:00,29.97
25.62,85.147,4,9,2024-09-10 04:00:00,36.29
25.62,85.147,5,9,2024-09-10 05:00:00,37.48
25.62,85.147,6,9,2024-09-10 06:00:00,37.74
25.62,85.147,7,9,2024-09-10 07:00:00,33.55
25.62,85.147,8,9,2024-09-10 08:00:00,28.36
25.62,85.147,9,9,2024-09-10 09:00:00,30.7
25.62,85.147,10,9,2024-09-10 10:00:00,35.31
25.62,85.147,11,9,2024-09-10 11:00:00,33.91
25.62,85.147,12,9,2024-09-10 12:00:00,29.26
25.62,85.147,13,9,2024-09-10 13:00:00,32.87
25.62,85.147,14,9,2024-09-10 14:00:00,27.01
25.62,85.147,15,9,2024-09-10 15:00:00,26.32
25.62,85.147,16,9,2024-09-10 16:00:00,25.71
25.62,85.147,17,9,2024-09-10 17:00:00,27.17
25.62,85.147,18,9,2024-09-10 18:00:00,26.25
25.62,85.147,19,9,2024-09-10 19:00:00,17.29
25.62,85.147,20,9,2024-09-10 20:00:00,19.75
25.62,85.147,21,9,2024-09-10 21:00:00,23.48
25.62,85.147,22,9,2024-09-10 22:00:00,24.74
25.62,85.147,23,9,2024-09-10 23:00:00,23.59
25.62,85.147,0,9,2024-09-11 00:00:00,21.74
25.62,85.147,1,9,2024-09-11 01:00:00,16.99
25.62,85.147,2,9,2024-09-11 02:00:00,15.12
25.62,85.147,3,9,2024-09-11 03:00:00,16.53
25.62,85.147,4,9,2024-09-11 04:00:00,17.41
25.62,85.147,5,9,2024-09-11 05:00:00,19.99
25.62,85.147,6,9,2024-09-11 06:00:00,29.32
25.62,85.147,7,9,2024-09-11 07:00:00,27.87
25.62,85.147,8,9,2024-09-11 08:00:00,34.72
25.62,85.147,9,9,2024-09-11 09:00:00,41.27
25.62,85.147,10,9,2024-09-11 10:00:00,35.57
25.62,85.147,11,9,2024-09-11 11:00:00,26.23
25.62,85.147,12,9,2024-09-11 12:00:00,25.21
25.62,85.147,13,9,2024-09-11 13:00:00,24.36
25.62,85.147,14,9,2024-09-11 14:00:00,24.93
25.62,85.147,15,9,2024-09-11 15:00:00,28.7
25.62,85.147,16,9,2024-09-11 16:00:00,31.17
25.62,85.147,17,9,2024-09-11 17:00:00,28.04
25.62,85.147,18,9,2024-09-11 18:00:00,42.98
25.62,85.147,19,9,2024-09-11 19:00:00,57.49
25.62,85.147,20,9,2024-09-11 20:00:00,47.15
25.62,85.147,21,9,2024-09-11 21:00:00,37.49
