lat,lon,hour,month,time,value
25.57,85.18,16,7,2024-07-18 16:00:00,4.25
25.57,85.18,17,7,2024-07-18 17:00:00,6.34
25.57,85.18,18,7,2024-07-18 18:00:00,26.7
25.57,85.18,19,7,2024-07-18 19:00:00,30.34
25.57,85.18,20,7,2024-07-18 20:00:00,47.18
25.57,85.18,21,7,2024-07-18 21:00:00,55.12
25.57,85.18,22,7,2024-07-18 22:00:00,63.34
25.57,85.18,23,7,2024-07-18 23:00:00,53.35
25.57,85.18,0,7,2024-07-19 00:00:00,55.51
25.57,85.18,1,7,2024-07-19 01:00:00,53.14
25.57,85.18,2,7,2024-07-19 02:00:00,44.31
25.57,85.18,3,7,2024-07-19 03:00:00,43.75
25.57,85.18,4,7,2024-07-19 04:00:00,34.23
25.57,85.18,5,7,2024-07-19 05:00:00,35.77
25.57,85.18,6,7,2024-07-19 06:00:00,39.06
25.57,85.18,7,7,2024-07-19 07:00:00,47.51
25.57,85.18,8,7,2024-07-19 08:00:00,35.94
25.57,85.18,9,7,2024-07-19 09:00:00,31.24
25.57,85.18,10,7,2024-07-19 10:00:00,32.71
25.57,85.18,11,7,2024-07-19 11:00:00,33.4
25.57,85.18,12,7,2024-07-19 12:00:00,29.16
25.57,85.18,13,7,2024-07-19 13:00:00,32.02
25.57,85.18,14,7,2024-07-19 14:00:00,19.83
25.57,85.18,15,7,2024-07-19 15:00:00,21.57
25.57,85.18,16,7,2024-07-19 16:00:00,15.91
25.57,85.18,17,7,2024-07-19 17:00:00,18.89
25.57,85.18,18,7,2024-07-19 18:00:00,21.98
25.57,85.18,19,7,2024-07-19 19:00:00,33.66
25.57,85.18,20,7,2024-07-19 20:00:00,29.77
25.57,85.18,21,7,2024-07-19 21:00:00,33.74
25.57,85.18,22,7,2024-07-19 22:00:00,36.69
25.57,85.18,23,7,2024-07-19 23:00:00,41.77
25.57,85.18,0,7,2024-07-20 00:00:00,48.74
25.57,85.18,1,7,2024-07-20 01:00:00,43.86
25.57,85.18,2,7,2024-07-20 02:00:00,31.35
25.57,85.18,3,7,2024-07-20 03:00:00,39.34
25.57,85.18,4,7,2024-07-20 04:00:00,34.48
25.57,85.18,5,7,2024-07-20 05:00:00,37.58
25.57,85.18,6,7,2024-07-20 06:00:00,37.92
25.57,85.18,7,7,2024-07-20 07:00:00,36.08
25.57,85.18,8,7,2024-07-20 08:00:00,37.84
25.57,85.18,9,7,2024-07-20 09:00:00,39.14
25.57,85.18,10,7,2024-07-20 10:00:00,22.95
25.57,85.18,11,7,2024-07-20 11:00:00,32.91
25.57,85.18,12,7,2024-07-20 12:00:00,27.99
25.57,85.18,13,7,2024-07-20 13:00:00,29.36
25.57,85.18,14,7,2024-07-20 14:00:00,25.22
25.57,85.18,15,7,2024-07-20 15:00:00,26.28
25.57,85.18,16,7,2024-07-20 16:00:00,24.08
25.57,85.18,17,7,2024-07-20 17:00:00,18.09
25.57,85.18,18,7,2024-07-20 18:00:00,23.75
25.57,85.18,19,7,2024-07-20 19:00:00,25.96
25.57,85.18,20,7,2024-07-20 20:00:00,33.14
25.57,85.18,21,7,2024-07-20 21:00:00,27.97
25.57,85.18,22,7,2024-07-20 22:00:00,28.72
25.57,85.18,23,7,2024-07-20 23:00:00,29.76
25.57,85.18,0,7,2024-07-21 00:00:00,28.24
25.57,85.18,1,7,2024-07-21 01:00:00,23.5
25.57,85.18,2,7,2024-07-21 02:00:00,22.9
25.57,85.18,3,7,2024-07-21 03:00:00,24.29
25.57,85.18,4,7,2024-07-21 04:00:00,27.27
25.57,85.18,5,7,2024-07-21 05:00:00,24.91
